Gymnasieprogram_kod,Gymnasieprogram,Gymnasieprogramstyp
ESDAN0S0N,"Estetiska programmet; Dans, (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESDANVS,"Estetiska programmet, Dans, särskild variant (spetsutbildning)",Högskoleförberedande program
ESDANVS0I,"Estetiska programmet; Dans, särskild variant (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESDANVS0N,"Estetiska programmet; Dans, särskild variant (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESDESV,"Estetiska programmet; Särskild variant, design",Högskoleförberedande program
ESDESV00I,"Estetiska programmet; Särskild variant, design (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESDESV00N,"Estetiska programmet; Särskild variant, design (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESDESVE,"Estetiska programmet, Särskild variant inom det estetiska området, design",Högskoleförberedande program
ESDESVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, design (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESDESVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, design (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESEST,"Estetiska programmet, Estetik och media",Högskoleförberedande program
ESEST000I,Estetiska programmet; Estetik och media (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
ESEST000N,Estetiska programmet; Estetik och media (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
ESEST0S,Estetiska programmet; Estetik och media (spetsutbildning),Högskoleförberedande program
ESEST0S0I,Estetiska programmet; Estetik och media (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
ESEST0S0N,Estetiska programmet; Estetik och media (spetsutbildning) (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
ESESTVS,"Estetiska programmet, Estetik och media, särskild variant (spetsutbildning)",Högskoleförberedande program
ESESTVS0I,"Estetiska programmet; Estetik och media, särskild variant (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESESTVS0N,"Estetiska programmet; Estetik och media, särskild variant (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESETIVS,"Estetiska programmet, Särskild variant, etisk modedesign (spetsutbildning)",Högskoleförberedande program
ESETIVS0I,"Estetiska programmet; Särskild variant, etisk modedesign (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESETIVS0N,"Estetiska programmet; Särskild variant, etisk modedesign (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESEXPVE,"Estetiska programmet, Särskild variant inom det estetiska området, exponering",Högskoleförberedande program
ESEXPVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, exponering (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESEXPVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, exponering (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESFILVE,"Estetiska programmet, Särskild variant inom det estetiska området, film",Högskoleförberedande program
ESFILVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, film (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESFILVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, film (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESFOTVE,"Estetiska programmet, Särskild variant inom det estetiska området, foto",Högskoleförberedande program
ESFOTVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, foto (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESFOTVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, foto (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESLJUVE,"Estetiska programmet, Särskild variant inom det estetiska området, ljud",Högskoleförberedande program
ESLJUVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, ljud (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESLJUVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, ljud (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESMODVE,"Estetiska programmet; Särskild variant inom det estetiska området, mode och design",Högskoleförberedande program
ESMODVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, mode och design (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESMODVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, mode och design (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESMUS,"Estetiska programmet, Musik",Högskoleförberedande program
ESMUS000I,Estetiska programmet; Musik (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
ESMUS000N,Estetiska programmet; Musik (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
ESMUS0S,"Estetiska programmet, Musik, (spetsutbildning)",Högskoleförberedande program
ESMUS0S0I,"Estetiska programmet; Musik, (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESMUS0S0N,"Estetiska programmet; Musik, (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESMUSVS,"Estetiska programmet, Musik, särskild variant (spetsutbildning)",Högskoleförberedande program
ESMUSVS0I,"Estetiska programmet; Musik, särskild variant (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESMUSVS0N,"Estetiska programmet; Musik, särskild variant (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESSCEVE,"Estetiska programmet; Särskild variant inom det estetiska området, scenkonst",Högskoleförberedande program
ESSCEVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, scenkonst (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESSCEVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, scenkonst (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESSERVE,"Estetiska programmet, Särskild variant inom det estetiska området, serieteckning",Högskoleförberedande program
ESSERVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, serieteckning (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESSERVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, serieteckning (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESSPEVS,"Estetiska programmet, Särskild variant, spelgrafik (spetsutbildning)",Högskoleförberedande program
ESSPEVS0I,"Estetiska programmet; Särskild variant, spelgrafik (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESSPEVS0N,"Estetiska programmet; Särskild variant, spelgrafik (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESSPLVE,"Estetiska programmet, Särskild variant inom det estetiska området, spelutveckling",Högskoleförberedande program
ESSPLVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, spelutveckling (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESSPLVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, spelutveckling (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESTEA,"Estetiska programmet, Teater",Högskoleförberedande program
ESTEA000I,Estetiska programmet; Teater (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
ESTEA000N,Estetiska programmet; Teater (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
ESTEA0S,Estetiska programmet; Teater (spetsutbildning),Högskoleförberedande program
ESTEA0S0I,Estetiska programmet; Teater (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
ESTEA0S0N,Estetiska programmet; Teater (spetsutbildning) (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
ESTEAVS,"Estetiska programmet, Teater, särskild variant (spetsutbildning)",Högskoleförberedande program
ESTEAVS0I,"Estetiska programmet; Teater, särskild variant (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESTEAVS0N,"Estetiska programmet; Teater, särskild variant (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESWALV,"Estetiska programmet, Särskild variant, Waldorf",Högskoleförberedande program
ESWALV00I,"Estetiska programmet; Särskild variant, Waldorf (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESWALV00N,"Estetiska programmet; Särskild variant, Waldorf (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESWALV0R,"Estetiska programmet, Särskild variant, Waldorf (riksrekryterande)",Högskoleförberedande program
ESWALV0RI,"Estetiska programmet; Särskild variant, Waldorf (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESWALV0RN,"Estetiska programmet; Särskild variant, Waldorf (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
ESWALVE,"Estetiska programmet; Särskild variant inom det estetiska området, Waldorf",Högskoleförberedande program
ESWALVE0I,"Estetiska programmet; Särskild variant inom det estetiska området, Waldorf (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
ESWALVE0N,"Estetiska programmet; Särskild variant inom det estetiska området, Waldorf (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
FT,Fordons- och transportprogrammet,Yrkesprogram
FT000000I,Fordons- och transportprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
FT000000N,Fordons- och transportprogrammet (Nationellt godkänd idrottsutbildning),Yrkesprogram
FTGOD,"Fordons- och transportprogrammet, Godshantering",Yrkesprogram
FTGOD000I,Fordons- och transportprogrammet; Godshantering (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
FTGOD000N,Fordons- och transportprogrammet; Godshantering (Nationellt godkänd idrottsutbildning),Yrkesprogram
FTGOD0A,"Fordons- och transportprogrammet; Godshantering, anställd lärling",Yrkesprogram
FTGOD0A0I,"Fordons- och transportprogrammet; Godshantering, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTGOD0A0N,"Fordons- och transportprogrammet; Godshantering, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTGOD0L,"Fordons- och transportprogrammet, Godshantering, lärling",Yrkesprogram
FTGOD0L0I,"Fordons- och transportprogrammet; Godshantering, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTGOD0L0N,"Fordons- och transportprogrammet; Godshantering, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTKAR,"Fordons- och transportprogrammet, Karosseri och lackering",Yrkesprogram
FTKAR000I,Fordons- och transportprogrammet; Karosseri och lackering (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
FTKAR000N,Fordons- och transportprogrammet; Karosseri och lackering (Nationellt godkänd idrottsutbildning),Yrkesprogram
FTKAR0A,"Fordons- och transportprogrammet; Karosseri och lackering, anställd lärling",Yrkesprogram
FTKAR0A0I,"Fordons- och transportprogrammet; Karosseri och lackering, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTKAR0A0N,"Fordons- och transportprogrammet; Karosseri och lackering, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTKAR0L,"Fordons- och transportprogrammet, Karosseri och lackering, lärling",Yrkesprogram
FTKAR0L0I,"Fordons- och transportprogrammet; Karosseri och lackering, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTKAR0L0N,"Fordons- och transportprogrammet; Karosseri och lackering, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTLAS,"Fordons- och transportprogrammet, Lastbil och mobila maskiner",Yrkesprogram
FTLAS000I,Fordons- och transportprogrammet; Lastbil och mobila maskiner (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
FTLAS000N,Fordons- och transportprogrammet; Lastbil och mobila maskiner (Nationellt godkänd idrottsutbildning),Yrkesprogram
FTLAS00R,"Fordons- och transportprogrammet, Lastbil och mobila maskiner (riksrekryterande)",Yrkesprogram
FTLAS00RI,Fordons- och transportprogrammet; Lastbil och mobila maskiner (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
FTLAS00RN,Fordons- och transportprogrammet; Lastbil och mobila maskiner (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
FTLAS0A,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, anställd lärling",Yrkesprogram
FTLAS0A0I,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTLAS0A0N,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTLAS0AR,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, anställd lärling (riksrekryterande)",Yrkesprogram
FTLAS0ARI,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTLAS0ARN,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTLAS0L,"Fordons- och transportprogrammet, Lastbil och mobila maskiner, lärling",Yrkesprogram
FTLAS0L0I,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTLAS0L0N,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTLAS0LR,"Fordons- och transportprogrammet, Lastbil och mobila maskiner, lärling (riksrekryterande)",Yrkesprogram
FTLAS0LRI,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTLAS0LRN,"Fordons- och transportprogrammet; Lastbil och mobila maskiner, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTPER,"Fordons- och transportprogrammet, Personbil",Yrkesprogram
FTPER000I,Fordons- och transportprogrammet; Personbil (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
FTPER000N,Fordons- och transportprogrammet; Personbil (Nationellt godkänd idrottsutbildning),Yrkesprogram
FTPER00R,"Fordons- och transportprogrammet, Personbil (riksrekryterande)",Yrkesprogram
FTPER00RI,Fordons- och transportprogrammet; Personbil (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
FTPER00RN,Fordons- och transportprogrammet; Personbil (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
FTPER0A,"Fordons- och transportprogrammet; Personbil, anställd lärling",Yrkesprogram
FTPER0A0I,"Fordons- och transportprogrammet; Personbil, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTPER0A0N,"Fordons- och transportprogrammet; Personbil, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTPER0AR,"Fordons- och transportprogrammet; Personbil, anställd lärling (riksrekryterande)",Yrkesprogram
FTPER0ARI,"Fordons- och transportprogrammet; Personbil, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTPER0ARN,"Fordons- och transportprogrammet; Personbil, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTPER0L,"Fordons- och transportprogrammet, Personbil, lärling",Yrkesprogram
FTPER0L0I,"Fordons- och transportprogrammet; Personbil, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTPER0L0N,"Fordons- och transportprogrammet; Personbil, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTPER0LR,"Fordons- och transportprogrammet, Personbil, lärling (riksrekryterande)",Yrkesprogram
FTPER0LRI,"Fordons- och transportprogrammet; Personbil, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTPER0LRN,"Fordons- och transportprogrammet; Personbil, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTPERV0R,"Fordons- och transportprogrammet; Personbil, särskild variant (riksrekryterande)",Yrkesprogram
FTPERV0RI,"Fordons- och transportprogrammet; Personbil, särskild variant (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
FTPERV0RN,"Fordons- och transportprogrammet; Personbil, särskild variant (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
FTPERVAR,"Fordons- och transportprogrammet; Personbil, särskild variant, anställd lärling (riksrekryterande)",Yrkesprogram
FTPERVARI,"Fordons- och transportprogrammet; Personbil, särskild variant, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
